"Customer_ID","Loan Amount","Installment","Net Income","Total Obligation","Payment Status"
"1000000","100267","4177.79","8000","1464","Passed"
"1000001","12889","537.04","4000","1663","Failed"
"1000002","28413","1183.88","6345","1161","Passed"
"1000003","13275","553.13","3605","1060","Failed"
"1000004","35000","1458.33","3936","1506","Passed"
"1000005","15291","637.13","8057","1347","Passed"
"1000006","12435","518.13","6979","2266","Failed"
"1000007","28935","1205.63","7745","1270","Passed"
"1000008","34453","1435.54","7845","2006","Passed"
"1000009","19544","814.33","4145","1802","Passed"
"1000010","13258","552.42","6909","1977","Failed"
"1000011","31841","1326.71","5590","1233","Passed"
"1000012","11736","489.00","5177","1073","Passed"
"1000013","29044","1210.17","3899","2027","Passed"
"1000014","16997","708.21","6573","1005","Passed"
"1000015","15215","633.96","7557","2124","Passed"
"1000016","34069","1419.54","2829","1872","Passed"
"1000017","24911","1037.96","4004","2181","Passed"
"1000018","18030","751.25","5308","1274","Passed"
"1000019","30334","1263.92","7494","1426","Passed"
"1000020","15571","648.79","5412","1991","Passed"
"1000021","29927","1246.96","5578","1640","Passed"
"1000022","21714","904.75","4669","1549","Passed"
"1000023","24387","1016.13","3348","2225","Passed"
"1000024","154874","6453.08","6902","1025","Passed"
"1000025","20921","871.71","6000","1944","Passed"
"1000026","14057","585.71","3805","1282","Failed"
"1000027","25858","1077.42","7695","2312","Passed"
"1000028","27062","1127.58","6607","2367","Passed"
"1000029","21567","898.63","3140","1996","Passed"
"1000030","30739","1280.79","4228","1397","Passed"
"1000031","56720","2363.33","4301","1502","Passed"
"1000032","28044","1168.50","3942","1142","Passed"
"1000033","2724","113.50","5668","1367","Passed"
"1000034","71870","2994.58","4694","1321","Passed"
"1000035","33087","1378.63","7007","1763","Passed"
"1000036","9894","412.25","6553","1101","Passed"
"1000037","19037","793.21","5417","1431","Passed"
"1000038","19450","810.42","5570","1334","Passed"
"1000039","17406","725.25","4723","1672","Passed"
"1000040","30725","1280.21","7089","1159","Passed"
"1000041","6926","288.58","3283","1925","Passed"
"1000042","10496","437.33","6485","1324","Passed"
"1000043","30806","1283.58","6647","2028","Passed"
"1000044","23663","985.96","5092","1769","Passed"
"1000045","23656","985.67","5014","2125","Passed"
"1000046","26860","1119.17","6865","1085","Passed"
"1000047","17832","743.00","4211","2091","Passed"
"1000048","22727","946.96","7771","1110","Passed"
"1000049","30545","1272.71","6779","2219","Passed"
"1000050","3520","146.67","4180","1752","Passed"
"1000051","4081","170.04","5381","2251","Passed"
"1000052","15566","648.58","7287","2227","Passed"
"1000053","88563","3690.13","4504","1759","Passed"
"1000054","26498","1104.08","7795","1188","Passed"
"1000055","12329","513.71","4346","1173","Failed"
"1000056","32656","1360.67","2859","2350","Passed"
"1000057","3159","131.63","5939","1679","Passed"
"1000058","20363","848.46","6393","1209","Passed"
"1000059","20033","834.71","3722","1534","Passed"
"1000060","11805","491.88","6547","2389","Passed"
"1000061","27832","1159.67","5107","1091","Passed"
"1000062","14944","622.67","4744","2326","Passed"
"1000063","20873","869.71","4307","2162","Passed"
"1000064","24928","1038.67","2934","1021","Passed"
"1000065","16379","682.46","3029","1770","Passed"
"1000066","25286","1053.58","4106","1182","Passed"
"1000067","6110","254.58","7771","2013","Passed"
"1000068","13087","545.29","6543","2493","Failed"
"1000069","24762","1031.75","3861","1193","Passed"
"1000070","18081","753.38","7289","1660","Passed"
"1000071","10596","441.50","4360","1253","Passed"
"1000072","19313","804.71","6011","1198","Passed"
"1000073","2013","83.88","2941","2194","Passed"
"1000074","24705","1029.38","3232","1937","Passed"
"1000075","2828","117.83","7782","2171","Passed"
"1000076","8909","371.21","4720","1648","Passed"
"1000077","14109","587.88","3186","1029","Failed"
"1000078","3023","125.96","5711","1633","Passed"
"1000079","15537","647.38","3817","1265","Passed"
"1000080","95876","3994.83","3053","1264","Passed"
"1000081","34848","1452.00","7935","1841","Passed"
"1000082","16379","682.46","5676","1440","Passed"
"1000083","28766","1198.58","6594","2354","Passed"
"1000084","3563","148.46","3621","2068","Passed"
"1000085","30197","1258.21","3172","2005","Passed"
"1000086","4586","191.08","4644","1804","Passed"
"1000087","17087","711.96","3796","1617","Passed"
"1000088","24225","1009.38","7500","1165","Passed"
"1000089","30750","1281.25","6430","1016","Passed"
"1000090","7643","318.46","2855","2425","Passed"
"1000091","28523","1188.46","6191","2452","Passed"
"1000092","12005","500.21","6408","1991","Failed"
"1000093","1161","48.38","5107","1767","Passed"
"1000094","17029","709.54","6276","1748","Passed"
"1000095","15226","634.42","3491","2057","Passed"
"1000096","29731","1238.79","4512","2386","Passed"
"1000097","4390","182.92","7776","1297","Passed"
"1000098","6997","291.54","2795","1192","Passed"
"1000099","13693","570.54","7433","1198","Failed"
"1000100","1541","64.21","5578","1280","Passed"
"","","","","",""
