id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
1000000,7423388,5583,5583,5530, 60 months,9.02,177.59,C,F5,Analyst,7 years,OWN,223074,Not Verified,Mar-14,In Grace Period,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000000,Borrower added for business purpose,small_business,small_business,826xx,FL,36.7,4,Jul-00,5,97,12,9,2,14221,69.2,15,w,2848.733382630815,2848.733382630815,5269.32,5269.32,2786.79,312.77,0,411.18,0,Oct-12,1256.89,Oct-18,Nov-09,0,86,1,JOINT,,,,1,5651,65674,9,3,4,2,22,73260,38.5,3,8,7195,8.6,75743,2,7,14
1000001,7550634,12889,12889,12818, 60 months,21.1,486.26,E,F5,Analyst,10+ years,RENT,77965,Verified,Apr-08,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000001,Borrower added for business purpose,major_purchase,major_purchase,371xx,FL,9.0,1,May-05,8,37,95,21,3,3849,36.7,28,w,486.3036391456765,486.3036391456765,14077.04,14077.04,7890.49,474.55,0,203.01,0,Sep-17,31.98,Dec-18,Nov-15,0,80,1,INDIVIDUAL,,,,2,9884,169178,6,4,4,2,94,61649,89.6,2,16,15986,76.7,20687,3,12,11
1000002,5304572,28413,28413,28365, 60 months,22.0,1085.11,F,G2,Doctor,7 years,OWN,254466,Verified,Apr-07,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000002,Borrower added for business purpose,small_business,small_business,868xx,GA,18.98,2,Mar-02,0,28,54,28,2,22814,7.3,40,f,4621.584492393586,4621.584492393586,17706.13,17706.13,15865.62,1680.83,0,312.33,0,Jul-11,1198.52,Jun-19,Jan-16,0,44,1,JOINT,,,,0,1362,474514,7,4,3,13,93,67743,14.2,0,2,17843,69.1,33780,4,9,6
1000003,3234489,13275,13275,13177, 36 months,10.78,433.22,C,A1,Developer,2 years,OWN,89776,Not Verified,Apr-15,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000003,Borrower added for business purpose,home_improvement,home_improvement,383xx,OH,18.98,4,Aug-04,3,60,7,26,3,46767,73.8,37,f,7659.298421692087,7659.298421692087,8718.96,8718.96,8809.01,1392.19,0,48.17,0,Sep-13,292.56,Feb-19,Feb-10,0,9,1,JOINT,,,,2,458,172529,6,3,2,4,70,13596,35.8,6,13,7374,73.3,51219,3,7,2
1000004,8204212,3461,3461,3451, 36 months,24.05,135.88,C,C3,Doctor,6 years,OWN,110932,Source Verified,Jan-10,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000004,Borrower added for business purpose,vacation,vacation,405xx,IL,32.62,3,Nov-02,9,31,61,15,2,4616,96.5,37,f,221.52632748899669,221.52632748899669,4465.51,4465.51,2638.47,911.59,0,388.52,0,Nov-17,284.82,Jun-19,May-14,0,8,1,INDIVIDUAL,,,,2,4785,125768,7,2,4,0,19,32746,69.8,0,2,17830,66.8,90069,8,9,6
1000005,5472471,15291,15291,15204, 60 months,6.0,465.18,B,C1,Developer,6 years,MORTGAGE,175761,Not Verified,Sep-09,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000005,Borrower added for business purpose,small_business,small_business,530xx,NC,33.16,3,Jan-85,9,10,21,8,2,24564,64.8,58,f,1125.5145047989613,1125.5145047989613,11826.35,11826.35,10121.84,58.81,0,50.23,0,Apr-13,300.93,Aug-18,Mar-13,0,45,1,INDIVIDUAL,,,,0,3701,99352,8,1,8,10,38,60467,87.3,7,5,5829,45.7,11881,0,12,2
1000006,5523669,12435,12435,12387, 60 months,8.0,389.67,C,B5,Manager,1 year,MORTGAGE,196251,Verified,Jul-09,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000006,Borrower added for business purpose,home_improvement,home_improvement,293xx,CA,30.61,1,Sep-05,1,17,104,25,0,715,27.6,22,w,7201.8667959756785,7201.8667959756785,14731.71,14731.71,5394.95,532.41,0,430.76,0,Feb-14,967.65,Dec-19,Dec-08,0,16,1,INDIVIDUAL,,,,0,7054,369045,3,3,8,5,2,87120,32.3,4,10,13933,6.8,2732,0,2,3
1000007,8404852,28935,28935,28915, 60 months,15.75,1013.7,G,F1,Doctor,8 years,MORTGAGE,134773,Not Verified,Jul-08,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000007,Borrower added for business purpose,credit_card,credit_card,881xx,FL,15.25,4,Feb-85,8,44,55,25,0,34411,27.0,9,w,5935.809906729136,5935.809906729136,17286.55,17286.55,28511.94,1457.79,0,53.3,0,Mar-07,231.04,Aug-18,Mar-14,0,66,1,INDIVIDUAL,,,,0,3742,136443,2,3,8,1,2,35196,56.1,7,2,536,83.6,63524,9,3,5
1000008,5981505,34453,34453,34388, 60 months,16.52,1220.13,E,D5,Engineer,2 years,MORTGAGE,232678,Verified,Apr-15,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000008,Borrower added for business purpose,car,car,103xx,IL,3.81,1,Jan-92,2,20,83,23,4,123,92.9,35,f,7152.4761404868195,7152.4761404868195,45541.58,45541.58,22569.24,1024.77,0,445.45,0,Nov-16,251.31,Sep-19,Jul-16,0,32,1,JOINT,,,,2,3127,149206,6,1,5,12,30,14148,1.2,1,14,2121,18.1,53390,6,15,6
1000009,2766891,19544,19544,19482, 60 months,17.9,705.58,A,D2,Manager,1 year,RENT,232243,Not Verified,Feb-08,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1000009,Borrower added for business purpose,debt_consolidation,debt_consolidation,463xx,GA,14.63,3,May-04,9,11,20,26,0,18157,30.3,20,w,2301.0395487713854,2301.0395487713854,29085.93,29085.93,17797.65,871.06,0,181.88,0,Jan-15,512.34,Mar-18,Jun-07,0,64,1,JOINT,,,,1,2042,322212,8,2,7,0,6,93535,37.1,2,7,18,99.0,7304,2,2,7
